empresa,fecha,precio,es_imputado_kalman,rendimiento_simple,rendimiento_log,retorno_depende_imputacion,precio_original
Banco Davivienda PF,2020-01-28,38087.2890625,False,0.003994520752756969,0.0039865638370729555,False,45240.0
Banco de Bogota,2020-01-28,54353.86328125,False,0.007556644603312179,0.007528236189578455,False,81828.4296875
Celsia,2020-01-28,2880.67041015625,False,0.0022272989969254198,0.002224822243479752,False,4500.0
ETB,2020-01-28,250.0,False,0.0,0.0,False,250.0
Ecopetrol,2020-01-28,1434.9949951171875,False,-0.004680056836337432,-0.00469104259170738,False,3190.0
Grupo Bolivar,2020-01-28,59290.6953125,False,0.0,0.0,False,77000.0
Mineros SA,2020-01-28,2966.644287109375,False,-0.01718740673435959,-0.01733682475660447,False,3145.0
Nutresa,2020-01-28,20201.5859375,False,0.003209759266600054,0.0032046189857642357,False,23157.689453125
Promigas,2020-01-28,4574.92626953125,False,0.04489813261150455,0.04391939991067568,False,7680.0
Banco Davivienda PF,2020-01-29,38642.9453125,False,0.014589020738341008,0.014483624820801268,False,45900.0
Banco de Bogota,2020-01-29,54588.55859375,False,0.004317914097211162,0.004308618654478426,False,82181.78125
Celsia,2020-01-29,2899.875,False,0.006666708477318872,0.006644584252428185,False,4530.0
ETB,2020-01-29,251.0,False,0.0040000000000000036,0.003992021269537457,False,251.0
Ecopetrol,2020-01-29,1437.2440185546875,False,0.0015672691857133714,0.0015660423011014746,False,3195.0
Grupo Bolivar,2020-01-29,60445.7109375,False,0.01948055456108788,0.019293237344917374,False,78500.0
Mineros SA,2020-01-29,2971.36083984375,False,0.0015898612296962877,0.0015885987382784116,False,3150.0
Nutresa,2020-01-29,20266.234375,False,0.0032001664473280123,0.0031950568129009795,False,23231.794921875
Promigas,2020-01-29,4574.92626953125,False,0.0,0.0,False,7680.0
Banco Davivienda PF,2020-01-30,38727.1328125,False,0.0021785994654182073,0.0021762297587398557,False,46000.0
Banco de Bogota,2020-01-30,54082.0859375,False,-0.00927800017617586,-0.009321308906897377,False,81419.2890625
Celsia,2020-01-30,2899.875,False,0.0,0.0,False,4530.0
ETB,2020-01-30,250.0,False,-0.003984063745019917,-0.00399202126953745,False,250.0
Ecopetrol,2020-01-30,1439.4932861328125,False,0.001564986563928672,0.0015637632486044182,False,3200.0
Grupo Bolivar,2020-01-30,60445.7109375,False,0.0,0.0,False,78500.0
Mineros SA,2020-01-30,2924.195556640625,False,-0.015873293667559185,-0.016000623621581434,False,3100.0
Nutresa,2020-01-30,20169.263671875,False,-0.004784840702554027,-0.004796324700205571,False,23120.63671875
Promigas,2020-01-30,4372.39013671875,False,-0.04427090643217124,-0.04528078101804713,False,7340.0
Banco Davivienda PF,2020-01-31,38710.296875,False,-0.00043473235112734265,-0.0004348268746318439,False,45980.0
Banco de Bogota,2020-01-31,54971.53125,False,0.016446209444064053,0.016312435267558083,False,82758.3046875
Celsia,2020-01-31,2903.07568359375,False,0.0011037315724815588,0.0011031229086160266,False,4535.0
ETB,2020-01-31,258.0,False,0.03200000000000003,0.031498667059371016,False,258.0
Ecopetrol,2020-01-31,1430.4964599609375,False,-0.006249995229949956,-0.006269608213545049,False,3180.0
Grupo Bolivar,2020-01-31,60445.7109375,False,0.0,0.0,False,78500.0
Mineros SA,2020-01-31,2886.464599609375,False,-0.012903021121677627,-0.01298698816644071,False,3060.0
Nutresa,2020-01-31,20007.65625,False,-0.008012559333058555,-0.008044832395413136,False,22935.376953125
Promigas,2020-01-31,4408.13134765625,False,0.008174295938816245,0.008141067339224331,False,7400.0
Banco Davivienda PF,2020-02-03,38306.1875,False,-0.01043932513111212,-0.010494197104032639,False,45500.0
Banco de Bogota,2020-02-03,54971.53125,False,0.0,0.0,False,82758.3046875
Celsia,2020-02-03,2896.674072265625,False,-0.0022051134816438722,-0.0022075483244389754,False,4525.0
ETB,2020-02-03,260.0,False,0.007751937984496138,0.0077220460939103185,False,260.0
Ecopetrol,2020-02-03,1412.5030517578125,False,-0.012578436023264472,-0.01265821424581945,False,3140.0
Grupo Bolivar,2020-02-03,60830.68359375,False,0.0063688994682857825,0.006348703732451029,False,79000.0
Mineros SA,2020-02-03,2914.763427734375,False,0.009803975468408499,0.009756228321845467,False,3090.0
Nutresa,2020-02-03,20250.068359375,False,0.012115967325008414,0.012043156518474847,False,23213.267578125
Promigas,2020-02-03,4408.13134765625,False,0.0,0.0,False,7400.0
Banco Davivienda PF,2020-02-04,38457.73046875,False,0.003956096355190564,0.003948291583518794,False,45680.0
Banco de Bogota,2020-02-04,54996.21875,False,0.00044909609462617794,0.0004489952811572345,False,82795.5
Celsia,2020-02-04,2880.67041015625,False,-0.0055248404584427036,-0.00554015883660521,False,4500.0
ETB,2020-02-04,260.0,False,0.0,0.0,False,260.0
Ecopetrol,2020-02-04,1432.74560546875,False,0.014330980514163372,0.01422926267206242,False,3185.0
Grupo Bolivar,2020-02-04,61061.7109375,False,0.003797875185702182,0.0037906814658862213,False,79300.0
Mineros SA,2020-02-04,2919.4794921875,False,0.0016179921870334013,0.0016166846478768407,False,3095.0
Nutresa,2020-02-04,20201.5859375,False,-0.0023941855906157716,-0.00239705623575708,False,23157.689453125
Promigas,2020-02-04,4646.40966796875,False,0.054054269603193594,0.05264393798073859,False,7800.0
Banco Davivienda PF,2020-02-05,39333.296875,False,0.02276698067145344,0.022511680643787755,False,46720.0
Banco de Bogota,2020-02-05,54971.53125,False,-0.0004488944978603415,-0.00044899528115728636,False,82758.3046875
Celsia,2020-02-05,2893.472900390625,False,0.004444274565128303,0.004434427940213693,False,4520.0
ETB,2020-02-05,260.0,False,0.0,0.0,False,260.0
Ecopetrol,2020-02-05,1434.9949951171875,False,0.0015699853762256577,0.0015687542375961928,False,3190.0
Grupo Bolivar,2020-02-05,61061.7109375,False,0.0,0.0,False,79300.0
Mineros SA,2020-02-05,2971.36083984375,False,0.017770752558832426,0.0176146988182997,False,3150.0
Nutresa,2020-02-05,20201.5859375,False,0.0,0.0,False,23157.689453125
Promigas,2020-02-05,4586.83984375,False,-0.012820613866532327,-0.0129035071942186,False,7700.0
Banco Davivienda PF,2020-02-06,38912.34375,False,-0.010702208013169456,-0.010759888549890807,False,46220.0
Banco de Bogota,2020-02-06,55403.90234375,False,0.007865363833211347,0.007834593102444776,False,83409.2109375
