empresa,fecha,rendimiento,metodo,motivo
Ecopetrol,2022-06-21,-0.12692792865903352,z_score,|z| = -5.10 > 3.0
Ecopetrol,2022-06-23,-0.07121821150594432,percentil,valor < percentil 1%
Ecopetrol,2022-06-24,0.06469460861340352,percentil,valor > percentil 99%
Ecopetrol,2022-07-05,-0.0783066239963336,z_score,|z| = -3.15 > 3.0
Ecopetrol,2022-09-23,-0.08253576501451529,z_score,|z| = -3.32 > 3.0
Ecopetrol,2022-11-10,0.07924153061006046,z_score,|z| = 3.16 > 3.0
Ecopetrol,2022-11-11,-0.08592778511661463,z_score,|z| = -3.46 > 3.0
Ecopetrol,2022-11-30,-0.07889990198729367,z_score,|z| = -3.18 > 3.0
Ecopetrol,2023-05-02,-0.09868107102871267,z_score,|z| = -3.97 > 3.0
Ecopetrol,2025-01-02,0.06919186093505915,percentil,valor > percentil 99%
Ecopetrol,2025-01-30,0.07164188096705948,percentil,valor > percentil 99%
Ecopetrol,2025-02-19,-0.203165116380932,z_score,|z| = -8.16 > 3.0
Ecopetrol,2025-02-20,0.2054046790877878,z_score,|z| = 8.22 > 3.0
Ecopetrol,2025-04-08,-0.06936114015258549,percentil,valor < percentil 1%
Ecopetrol,2025-04-10,-0.07290676309423835,percentil,valor < percentil 1%
Ecopetrol,2026-03-05,0.06763759434594262,percentil,valor > percentil 99%
Ecopetrol,2026-04-15,-0.0751623029848423,z_score,|z| = -3.03 > 3.0
Ecopetrol,2026-05-26,0.07410797215372183,percentil,valor > percentil 99%
Ecopetrol,2026-06-01,0.06291382541056918,percentil,valor > percentil 99%
Ecopetrol,2026-06-09,0.07886761940670986,z_score,|z| = 3.15 > 3.0
Ecopetrol,2026-08-06,0.06526080358139512,percentil,valor > percentil 99%
Grupo Bolivar,2020-03-12,-0.08455733171531941,z_score,|z| = -4.06 > 3.0
Grupo Bolivar,2020-03-18,-0.09237349776269885,z_score,|z| = -4.43 > 3.0
Grupo Bolivar,2020-03-19,-0.0928935323836424,z_score,|z| = -4.46 > 3.0
Grupo Bolivar,2020-03-27,0.07864267040235678,z_score,|z| = 3.76 > 3.0
Grupo Bolivar,2020-06-12,0.16773474917325182,z_score,|z| = 8.03 > 3.0
Grupo Bolivar,2020-07-02,-0.06360109467362898,z_score,|z| = -3.05 > 3.0
Grupo Bolivar,2021-04-08,0.07910441531775861,z_score,|z| = 3.78 > 3.0
Grupo Bolivar,2021-07-28,-0.07319611770959945,z_score,|z| = -3.51 > 3.0
Grupo Bolivar,2022-01-25,0.06105160738506077,percentil,valor > percentil 99%
Grupo Bolivar,2022-02-11,-0.05965090130733625,percentil,valor < percentil 1%
Grupo Bolivar,2022-03-10,0.2913368181177233,z_score,|z| = 13.94 > 3.0
Grupo Bolivar,2022-03-25,-0.09843954107639476,z_score,|z| = -4.72 > 3.0
Grupo Bolivar,2022-05-31,0.06764741667376804,z_score,|z| = 3.23 > 3.0
Grupo Bolivar,2022-06-13,-0.09958198980408857,z_score,|z| = -4.78 > 3.0
Grupo Bolivar,2022-06-14,0.057260815675330805,percentil,valor > percentil 99%
Grupo Bolivar,2022-07-22,-0.07837725846567442,z_score,|z| = -3.76 > 3.0
Grupo Bolivar,2022-08-30,-0.057158424255720465,percentil,valor < percentil 1%
Grupo Bolivar,2022-09-16,-0.06199530011820359,percentil,valor < percentil 1%
Grupo Bolivar,2022-10-14,-0.06352583475794993,z_score,|z| = -3.05 > 3.0
Grupo Bolivar,2022-10-19,0.07101906569792386,z_score,|z| = 3.39 > 3.0
Grupo Bolivar,2023-05-15,0.05637878818805789,percentil,valor > percentil 99%
Grupo Bolivar,2023-06-06,0.06103600046365584,percentil,valor > percentil 99%
Grupo Bolivar,2023-06-16,-0.06466289326913008,z_score,|z| = -3.10 > 3.0
Grupo Bolivar,2023-09-06,-0.10499076251757744,z_score,|z| = -5.04 > 3.0
Grupo Bolivar,2024-03-18,0.06490605147535218,z_score,|z| = 3.10 > 3.0
Grupo Bolivar,2024-03-21,0.06451647060628211,z_score,|z| = 3.08 > 3.0
Grupo Bolivar,2024-03-22,0.06215953516764876,percentil,valor > percentil 99%
Grupo Bolivar,2024-05-03,-0.1222773644271931,z_score,|z| = -5.86 > 3.0
Grupo Bolivar,2024-05-06,0.11748279641685967,z_score,|z| = 5.62 > 3.0
Grupo Bolivar,2024-08-27,0.06607801051995868,z_score,|z| = 3.16 > 3.0
Grupo Bolivar,2024-09-16,0.07212917517915265,z_score,|z| = 3.45 > 3.0
Grupo Bolivar,2025-02-19,-0.062325439780065335,percentil,valor < percentil 1%
Grupo Bolivar,2025-02-20,0.10201080424244756,z_score,|z| = 4.88 > 3.0
Grupo Bolivar,2025-09-30,-0.06393929141625031,z_score,|z| = -3.07 > 3.0
Grupo Bolivar,2026-06-05,0.06646880304635512,z_score,|z| = 3.18 > 3.0
Grupo Bolivar,2026-06-09,-0.06322246603027575,z_score,|z| = -3.04 > 3.0
Mineros SA,2020-03-18,-0.0986993744835738,z_score,|z| = -3.41 > 3.0
Mineros SA,2020-03-25,0.17054425707101004,z_score,|z| = 5.79 > 3.0
Mineros SA,2020-06-11,-0.0947177328116702,z_score,|z| = -3.27 > 3.0
Mineros SA,2021-05-27,-0.07771394204619247,percentil,valor < percentil 1%
Mineros SA,2022-05-31,0.07955496636571975,percentil,valor > percentil 99%
Mineros SA,2022-06-21,-0.07589233198544573,percentil,valor < percentil 1%
Mineros SA,2022-07-08,-0.09610552370435964,z_score,|z| = -3.32 > 3.0
Mineros SA,2022-07-11,0.08770230171197338,percentil,valor > percentil 99%
Mineros SA,2022-11-30,-0.09849491607502008,z_score,|z| = -3.40 > 3.0
Mineros SA,2023-01-12,0.09097182875666408,z_score,|z| = 3.07 > 3.0
Mineros SA,2023-03-09,0.14326798833171722,z_score,|z| = 4.86 > 3.0
Mineros SA,2023-03-27,-0.10889486528548889,z_score,|z| = -3.75 > 3.0
Mineros SA,2023-03-31,0.08355302530230785,percentil,valor > percentil 99%
Mineros SA,2024-02-29,-0.08936370678539783,z_score,|z| = -3.09 > 3.0
Mineros SA,2024-03-01,0.09531006400162394,z_score,|z| = 3.22 > 3.0
Mineros SA,2024-03-22,0.08906903648981719,z_score,|z| = 3.01 > 3.0
Mineros SA,2024-05-03,-0.23023303324776473,z_score,|z| = -7.90 > 3.0
Mineros SA,2024-05-06,0.2364928927159883,z_score,|z| = 8.04 > 3.0
Mineros SA,2025-02-05,-0.2744369933083998,z_score,|z| = -9.41 > 3.0
Mineros SA,2025-02-17,0.3950648650005605,z_score,|z| = 13.46 > 3.0
Mineros SA,2025-02-19,-0.14483090869000717,z_score,|z| = -4.98 > 3.0
Mineros SA,2025-02-20,0.17435339982758444,z_score,|z| = 5.92 > 3.0
Mineros SA,2025-05-09,0.09288113228120644,z_score,|z| = 3.14 > 3.0
Mineros SA,2025-09-30,-0.1823216870031441,z_score,|z| = -6.26 > 3.0
Mineros SA,2025-10-01,0.24216160559515082,z_score,|z| = 8.24 > 3.0
Mineros SA,2025-10-27,-0.08829260926175385,z_score,|z| = -3.05 > 3.0
Mineros SA,2025-12-03,-0.17459956291561365,z_score,|z| = -6.00 > 3.0
Mineros SA,2025-12-04,0.17459956291561365,z_score,|z| = 5.93 > 3.0
Mineros SA,2026-01-30,-0.1001330639006607,z_score,|z| = -3.46 > 3.0
Mineros SA,2026-03-05,-0.10595479008118905,z_score,|z| = -3.65 > 3.0
Mineros SA,2026-03-19,-0.08127073061161087,percentil,valor < percentil 1%
Mineros SA,2026-03-24,0.11966444588644247,z_score,|z| = 4.05 > 3.0
Mineros SA,2026-03-31,0.09531019460077678,z_score,|z| = 3.22 > 3.0
Mineros SA,2026-05-07,0.09729886897287436,z_score,|z| = 3.29 > 3.0
Mineros SA,2026-06-05,-0.1428027700881665,z_score,|z| = -4.91 > 3.0
Mineros SA,2026-06-09,0.09110137511191707,z_score,|z| = 3.08 > 3.0
Nutresa,2020-03-16,-0.07598634089729005,percentil,valor < percentil 1%
Nutresa,2020-03-18,-0.10536015688936748,z_score,|z| = -3.36 > 3.0
Nutresa,2021-11-22,0.2085014164558235,z_score,|z| = 6.50 > 3.0
Nutresa,2022-02-01,0.40989966799363947,z_score,|z| = 12.82 > 3.0
Nutresa,2022-02-28,0.09531024127940908,percentil,valor > percentil 99%
Nutresa,2022-05-17,-0.11959974164258388,z_score,|z| = -3.80 > 3.0
Nutresa,2022-05-19,-0.09325754997939001,percentil,valor < percentil 1%
Nutresa,2022-05-31,-0.09260350548369696,percentil,valor < percentil 1%
Nutresa,2022-07-22,-0.08341291968193851,percentil,valor < percentil 1%
Nutresa,2022-10-21,0.44989364940382476,z_score,|z| = 14.08 > 3.0
Nutresa,2022-11-17,0.09898594122629384,z_score,|z| = 3.06 > 3.0
Nutresa,2022-11-21,-0.3390396606357362,z_score,|z| = -10.69 > 3.0
Nutresa,2023-03-15,-0.0953101798043249,z_score,|z| = -3.04 > 3.0
Nutresa,2023-04-03,0.09531017980432493,percentil,valor > percentil 99%
Nutresa,2024-04-05,-0.0983215561096533,z_score,|z| = -3.14 > 3.0
Nutresa,2024-05-03,0.24643187908408323,z_score,|z| = 7.69 > 3.0
Nutresa,2024-05-06,-0.2464318790840833,z_score,|z| = -7.79 > 3.0
Nutresa,2024-05-20,-0.07684976358950454,percentil,valor < percentil 1%
Nutresa,2024-05-28,0.14100335635252592,z_score,|z| = 4.38 > 3.0
Nutresa,2024-05-29,0.09508459984478888,percentil,valor > percentil 99%
Nutresa,2024-05-31,0.2080299404616132,z_score,|z| = 6.48 > 3.0
Nutresa,2024-06-07,0.0918075747849407,percentil,valor > percentil 99%
Nutresa,2024-06-13,-0.0791805196122782,percentil,valor < percentil 1%
Nutresa,2024-06-21,-0.08544346306550579,percentil,valor < percentil 1%
Nutresa,2024-07-23,0.09262141393132006,percentil,valor > percentil 99%
Nutresa,2024-12-17,-0.09835277850042162,z_score,|z| = -3.14 > 3.0
Nutresa,2025-02-06,0.09431067947124142,percentil,valor > percentil 99%
Nutresa,2025-02-19,-0.24038535774871583,z_score,|z| = -7.60 > 3.0
Nutresa,2025-02-20,0.22296962314610463,z_score,|z| = 6.95 > 3.0
Nutresa,2025-09-30,-0.16197816971712412,z_score,|z| = -5.14 > 3.0
Nutresa,2025-10-01,0.16197816971712417,z_score,|z| = 5.04 > 3.0
Nutresa,2025-10-20,0.09738990325757428,z_score,|z| = 3.01 > 3.0
Nutresa,2025-10-22,-0.18910124377933335,z_score,|z| = -5.99 > 3.0
Nutresa,2025-10-23,-0.15415067982725836,z_score,|z| = -4.89 > 3.0
Nutresa,2025-10-29,0.09345918078219095,percentil,valor > percentil 99%
Nutresa,2025-10-30,0.09425253824618929,percentil,valor > percentil 99%
Promigas,2020-01-16,-0.09530969012226129,z_score,|z| = -4.69 > 3.0
Promigas,2020-01-21,0.054217193888352305,percentil,valor > percentil 99%
Promigas,2020-03-12,-0.10465340373660119,z_score,|z| = -5.15 > 3.0
Promigas,2020-03-30,-0.058840531796301596,percentil,valor < percentil 1%
Promigas,2020-03-31,0.05884053179630153,percentil,valor > percentil 99%
Promigas,2020-07-27,0.09531007159647256,z_score,|z| = 4.68 > 3.0
Promigas,2020-07-31,-0.10198007296857439,z_score,|z| = -5.02 > 3.0
Promigas,2020-10-29,0.06579033110079605,z_score,|z| = 3.23 > 3.0
Promigas,2020-10-30,-0.10521126868753027,z_score,|z| = -5.17 > 3.0
Promigas,2020-11-24,0.08906426935106732,z_score,|z| = 4.37 > 3.0
Promigas,2020-11-25,-0.10285748160682384,z_score,|z| = -5.06 > 3.0
Promigas,2021-01-29,-0.05129281422072141,percentil,valor < percentil 1%
Promigas,2021-05-27,-0.10536049125451437,z_score,|z| = -5.18 > 3.0
Promigas,2021-08-19,0.0562178368510786,percentil,valor > percentil 99%
Promigas,2022-04-08,-0.07454990885803944,z_score,|z| = -3.67 > 3.0
Promigas,2022-04-11,0.07598594803995626,z_score,|z| = 3.73 > 3.0
Promigas,2022-06-21,-0.056089548865090856,percentil,valor < percentil 1%
Promigas,2022-09-27,-0.054311884819034345,percentil,valor < percentil 1%
Promigas,2022-10-05,0.09509255109072227,z_score,|z| = 4.67 > 3.0
Promigas,2022-10-18,-0.10211835769394499,z_score,|z| = -5.02 > 3.0
Promigas,2023-01-18,0.05729278770370832,percentil,valor > percentil 99%
Promigas,2023-06-16,0.061368974089739736,z_score,|z| = 3.01 > 3.0
Promigas,2023-06-26,-0.06067020568228322,percentil,valor < percentil 1%
Promigas,2023-06-28,-0.07318735777535691,z_score,|z| = -3.60 > 3.0
